Grant,"Organization Name","Focus Area",Amount,Date
"Ohio Safe and Healthy Communities Campaign — Ohio Neighborhood Safety, Drug Treatment and Rehabilitation Amendment (May 2018)","Ohio Safe and Healthy Communities Campaign","Criminal Justice Reform","$500,000","May 2018"
"Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (May 2018)","Reform Jails and Community Reinvestment Initiative","Criminal Justice Reform","$300,000","May 2018"
"Real Justice PAC — Criminal Justice Reform (May 2018)","Real Justice PAC","Criminal Justice Reform","$350,000","May 2018"
"VOCAL-NY — Court Watch NYC",VOCAL-NY,"Criminal Justice Reform","$75,000","June 2018"
"Project NIA — Transformative Justice Work Led by Mariame Kaba","Project NIA","Criminal Justice Reform","$121,000","June 2018"
"Center on Budget and Policy Priorities — Automatic Stabilizers","Center on Budget and Policy Priorities","Macroeconomic Stabilization Policy","$100,000","May 2018"
"Colorado Criminal Justice Reform Coalition — General Support (2018)","Colorado Criminal Justice Reform Coalition","Criminal Justice Reform","$200,000","May 2018"
"Helping Educate to Advance the Rights of Deaf Communities — General Support (2018)","Helping Educate to Advance the Rights of Deaf Communities","Criminal Justice Reform","$50,000","May 2018"
"Mercy For Animals — US Broiler Chicken Welfare Corporate Campaigns (2018)","Mercy For Animals","Broiler Chicken Welfare","$375,000","May 2018"
"Royal Society for the Prevention of Cruelty to Animals — Broiler Breed Study","Royal Society for the Prevention of Cruelty to Animals","Broiler Chicken Welfare","$231,677","May 2018"
"Faith in Action — Live Free Campaign (2018)","Faith in Action","Criminal Justice Reform","$800,000","May 2018"
"SPIN Academy — Communications Training","SPIN Academy","Criminal Justice Reform","$42,000","May 2018"
"Nick Otis — Forecasting Research","Nick Otis","Global Health & Development","$10,000","May 2018"
"MoveOn Civic Action — Syrian Refugee Advocacy","MoveOn.org Civic Action","Immigration Policy","$375,000","October 2015"
"Open Phil AI Fellowship — 2018 Class","Open Phil AI Fellowship",Longtermism,"$1,245,000","May 2018"
"Greenburger Center for Social and Criminal Justice — Criminal Justice Convening","Greenburger Center for Social and Criminal Justice","Criminal Justice Reform","$20,000","May 2018"
"ACTAsia — Reduce Fur Demand in Asia (2018)",ACTAsia,"Farm Animal Welfare","$350,000","March 2018"
"Ought — General Support (2018)",Ought,Longtermism,"$525,000","May 2018"
"Project South — Criminal Justice Reform Work","Project South","Criminal Justice Reform","$50,000","April 2018"
"Cynthia Schuck & Wladimir Alonso — DALY Project","Cynthia Schuck &amp; Wladimir Alonso","Farm Animal Welfare","$96,130","February 2018"
"International Society for Applied Ethology — Advance Farm Animal Welfare Science in Developing Nations (2018)","International Society for Applied Ethology","Farm Animal Welfare","$135,412","April 2018"
"Gamechanger Labs — Student Organizing Initiative (2018)","Gamechanger Labs","Criminal Justice Reform","$400,000","April 2018"
"California YIMBY — General Support (April 2018)","California YIMBY","Land Use Reform","$500,000","April 2018"
"Life Sciences Research Foundation  — Young Investigators (2018)","Life Sciences Research Foundation","Transformative Basic Science","$780,000","April 2018"
"Global Priorities Institute — General Support","Global Priorities Institute","Other Areas","$3,112,969","February 2018"
"VasoRX — Atherosclerosis Investment",VasoRX,"Human Health and Wellbeing","$5,400,000","April 2018"
"Ohio Safe and Healthy Communities Campaign — Ohio Neighborhood Safety, Drug Treatment and Rehabilitation Amendment (March 2018)","Ohio Safe and Healthy Communities Campaign","Criminal Justice Reform","$500,000","March 2018"
"Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure","Reform Jails and Community Reinvestment Initiative","Criminal Justice Reform","$500,000","April 2018"
"Compassion in World Farming USA — General Support (2018)","Compassion in World Farming USA","Broiler Chicken Welfare","$1,500,000","March 2018"
"Aquaculture Stewardship Council  — Organizational Development","Aquaculture Stewardship Council","Farm Animal Welfare","$13,813","March 2018"
"Stanford University — NIPS Workshop on Machine Learning Security","Stanford University",Longtermism,"$6,771","April 2018"
"Texas Freedom Network Education Fund — Texas Rising Program (2018)","Texas Freedom Network Education Fund","Criminal Justice Reform","$150,000","April 2018"
"The Justice Collaborative — General Support (2018)","The Justice Collaborative","Criminal Justice Reform","$1,800,000","March 2018"
"Media Mobilizing Project — Criminal Justice Coalition","Media Mobilizing Project","Criminal Justice Reform","$140,000","March 2018"
"Justice Strategies — General Support (2018)","Justice Strategies","Criminal Justice Reform","$100,000","March 2018"
"Harborlight Community Partners — YIMBYtown 2018 Conference","Harborlight Community Partners","Land Use Reform","$40,000","March 2018"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (March 2018)","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$500,000","March 2018"
"Farm Forward — Leadership Circle (2018)","Farm Forward","Farm Animal Welfare","$165,691","February 2018"
"Founders Pledge — General Support (2018)","Founders Pledge","Effective Altruism Community Growth","$5,222,653","February 2018"
"Research Institute of Industrial Economics — Genomic Research Methods","Research Institute of Industrial Economics","Scientific Research","$500,000","August 2016"
"University of Southern California — Genomic Research Methods","University of Southern California","Scientific Research","$1,738,500","April 2016"
"Centre for Effective Altruism — New Discretionary Fund","Centre for Effective Altruism","Effective Altruism Community Growth","$5,000,000","March 2018"
"Columbia University — Beyond the Bars Conference 2018","Columbia University","Criminal Justice Reform","$50,000","February 2018"
"Brighter Green — Farm Animal Welfare Advocacy in East Asia (2018)","Brighter Green","Farm Animal Welfare","$430,000","March 2018"
"WildAid — Reducing Meat Consumption in Asia (2018)",WildAid,"Farm Animal Welfare","$500,000","March 2018"
"Center for Popular Democracy Action Fund — Fed Up Campaign (2018)","Center for Popular Democracy Action Fund","Macroeconomic Stabilization Policy","$100,000","February 2018"
"Center for Popular Democracy — Fed Up Campaign (2018)","Center for Popular Democracy","Macroeconomic Stabilization Policy","$1,200,000","February 2018"
"Schistosomiasis Control Initiative — General Support (2018)","Schistosomiasis Control Initiative","GiveWell-Recommended Charities","$2,500,000","March 2018"
"Georgetown Center for Global Health Science and Security — General Support (2018)","Georgetown Center for Global Health Science and Security","Biosecurity & Pandemic Preparedness","$44,627","February 2018"
"Center for Global Development — Pandemic Policy Project Led by Jeremy Konyndyk","Center for Global Development","Biosecurity & Pandemic Preparedness","$49,942","February 2018"
"Voters Organized to Educate — General Support (2018)","Voters Organized to Educate","Criminal Justice Reform","$100,000","February 2018"
"Better Eating International  — Millennial Vegan Survey","Better Eating International","Farm Animal Welfare","$67,110","February 2018"
"Court Watch NOLA — General Support (February 2018)","Court Watch NOLA","Criminal Justice Reform","$100,000","February 2018"
"Southerners On New Ground — Anti-Criminalization Work","Southerners On New Ground","Criminal Justice Reform","$400,000","February 2018"
"People’s Action Institute — Prosecutor Accountability","People's Action Institute","Criminal Justice Reform","$279,000","March 2017"
"People’s Action — Prosecutor Accountability","People's Action","Criminal Justice Reform","$1,927,640","March 2017"
"Texas Organizing Project — Criminal Justice Reform (2016)","Texas Organizing Project","Criminal Justice Reform","$124,400","August 2016"
"Texas Organizing Project Education Fund — Criminal Justice Reform","Texas Organizing Project Education Fund","Criminal Justice Reform","$765,000","March 2017"
"Texas Organizing Project — Criminal Justice Reform (2017)","Texas Organizing Project","Criminal Justice Reform","$1,195,500","March 2017"
"UCSF — Research on Antiviral Drugs (Raul Andino)","University of California, San Francisco","Scientific Research","$880,000","February 2018"
"Dignity and Power Now — JusticeLA Campaign (2017)","Dignity and Power Now","Criminal Justice Reform","$500,000","October 2017"
"Justice Team Network — JusticeLA Campaign","Justice Team Network","Criminal Justice Reform","$400,000","February 2018"
"80,000 Hours — General Support (2018)","80,000 Hours","Effective Altruism Community Growth","$510,000","February 2018"
"Mijente — Anti-Criminalization Work (2017)",Mijente,"Criminal Justice Reform","$255,000","December 2017"
"Detroit Justice Center — General Support","Detroit Justice Center","Criminal Justice Reform","$50,000","January 2018"
"Texas Inmate Families Association — General Support (2018)","Texas Inmate Families Association","Criminal Justice Reform","$242,000","February 2018"
"Just Liberty — General Support (2018)","Just Liberty","Criminal Justice Reform","$569,000","January 2018"
"Blue Ribbon Study Panel on Biodefense— General Support (2018)","Blue Ribbon Study Panel on Biodefense","Biosecurity & Pandemic Preparedness","$2,588,162","January 2018"
"Color Of Change — Studying Voter Activity in Prosecutorial Elections","Color of Change","Criminal Justice Reform","$229,100","October 2016"
"Alliance for Safety and Justice — General Support (2017)","Alliance for Safety and Justice","Criminal Justice Reform","$4,000,000","April 2017"
"Alliance for Safety and Justice Action Fund — General Support (2017)","Alliance for Safety and Justice Action Fund","Criminal Justice Reform","$1,000,000","April 2017"
"Accountable Justice Collaborative — General Support","Accountable Justice Collaborative","Criminal Justice Reform","$200,000","January 2017"
"The Justice Collaborative — General Support (2017)","The Justice Collaborative","Criminal Justice Reform","$1,301,280","January 2017"
"American Society for Microbiology — Biothreats Meeting","American Society for Microbiology","Biosecurity & Pandemic Preparedness","$43,149","December 2017"
"Citizens for Juvenile Justice — General Support (2017)","Citizens for Juvenile Justice","Criminal Justice Reform","$75,000","December 2017"
"The Prodigal Child Project — General Support","The Prodigal Child Project","Criminal Justice Reform","$20,000","December 2017"
